task_id,seed,m,estimate,workers,time
67,0x9747b2cf,1024,285727.11759002524,16,18.09588313102722
70,0x9747b2d2,1024,307904.90404931153,16,14.244320392608643
69,0x9747b2d1,1024,288868.4165217731,16,18.202563762664795
74,0x9747b2d6,1024,296035.0238889604,16,14.1806001663208
73,0x9747b2d5,1024,291752.1372909125,16,14.403424263000488
76,0x9747b2d8,1024,277195.9751297139,16,14.185099124908447
71,0x9747b2d3,1024,286431.80124625715,16,18.45990777015686
75,0x9747b2d7,1024,293305.7973063341,16,18.299825429916382
59,0x9747b2c7,1024,274962.1714509543,16,18.382750272750854
79,0x9747b2db,1024,277979.17306427,16,14.17775821685791
77,0x9747b2d9,1024,291882.6289052458,16,17.973470449447632
7,0x9747b293,1024,289059.68615002115,16,17.652628421783447
82,0x9747b2de,1024,280205.5223771204,16,14.420326709747314
84,0x9747b2e0,1024,290665.406398271,16,14.278146028518677
83,0x9747b2df,1024,290449.35044351657,16,14.526749610900879
80,0x9747b2dc,1024,294130.1207458986,16,17.837719678878784
81,0x9747b2dd,1024,283864.0562824238,16,17.97796082496643
86,0x9747b2e2,1024,288415.06232291413,16,14.354283571243286
85,0x9747b2e1,1024,263395.6235327878,16,18.29783606529236
89,0x9747b2e5,1024,265345.8161016994,16,14.590471506118774
87,0x9747b2e3,1024,287967.10634762485,16,18.040797233581543
72,0x9747b2d4,1024,290145.33905417984,16,18.054195642471313
92,0x9747b2e8,1024,285744.58549413114,16,14.215805768966675
90,0x9747b2e6,1024,284758.04342906113,16,17.7652747631073
93,0x9747b2e9,1024,290258.86992595694,16,14.441800832748413
91,0x9747b2e7,1024,278982.18452360213,16,18.157736778259277
78,0x9747b2da,1024,270061.23745039804,16,14.294464349746704
94,0x9747b2ea,1024,288885.05881301744,16,17.881734371185303
99,0x9747b2ef,1024,290480.2339507748,16,14.289163827896118
98,0x9747b2ee,1024,292080.8466704766,16,18.288551568984985
102,0x9747b2f2,1024,280136.85953106463,16,14.312402486801147
100,0x9747b2f0,1024,269356.2423520396,16,17.73677945137024
103,0x9747b2f3,1024,278411.7846470411,16,14.348827600479126
101,0x9747b2f1,1024,293382.9152494191,16,18.15305256843567
106,0x9747b2f6,1024,294598.45751354215,16,14.246517658233643
88,0x9747b2e4,1024,282978.89925408125,16,17.81785559654236
104,0x9747b2f4,1024,267222.28826212476,16,18.174563884735107
108,0x9747b2f8,1024,282600.7730341801,16,14.194751501083374
107,0x9747b2f7,1024,284807.18056003144,16,17.926438808441162
110,0x9747b2fa,1024,283154.23638635187,16,14.366390466690063
97,0x9747b2ed,1024,285807.31235444196,16,14.498164415359497
109,0x9747b2f9,1024,292893.95814425976,16,18.22334575653076
